"Date","AEX_disc_return","Portfolio_disc_return","MSCI_disc_return","Date.y","new_cases_per_million","reproduction_rate","dMonday","dPeriod","AEX_cont_return","Portfolio_cont_return","MSCI_cont_return"
2021-01-13,0.124304670747996,-0.54640035497078,0.278935799287506,2021-01-12,289.814,0.82,0,1,0.124227476456268,-0.547898581746891,0.278547495298512
2021-01-14,1.90570781216052,2.60229979481583,0.0105821705543449,2021-01-13,360.855,0.81,0,1,1.88777665301678,2.56901616515124,0.0105816106821699
2021-01-15,-0.750769043340534,-0.144178199516518,-0.861599854888435,2021-01-14,382.342,0.8,0,1,-0.753601499832344,-0.144282236293525,-0.865333085579337
2021-01-18,-0.219416015834788,0.0428907994797933,-0.0320190284511994,2021-01-17,328.595,0.83,1,1,-0.219657085469619,0.0428816040056365,-0.0320241556365963
2021-01-19,0.150699677072123,-0.0456328056232412,0.82971097384276,2021-01-18,279.041,0.85,0,1,0.150586239061625,-0.0456432205565246,0.82628779430519
2021-01-20,1.23142120132662,-0.619846587574221,1.11180020874617,2021-01-19,253.653,0.85,0,1,1.22390088535317,-0.621775611994055,1.1056651414697
2021-01-21,0.694676171697261,-2.50961562132057,0.176530429058696,2021-01-20,326.266,0.86,0,1,0.692274413326403,-2.54164346048692,0.176374797228218
2021-01-22,-0.504609266734956,0.464390933140936,-0.437561602102678,2021-01-21,340.183,0.86,0,1,-0.505886718534082,0.463315965198058,-0.438521704597709
2021-01-25,-0.34669129335533,-3.14002237880482,0.208492702755401,2021-01-24,287.659,0.86,1,1,-0.347293660258483,-3.19037800558268,0.208275658348701
2021-01-26,0.0455760816723314,2.80276142820887,-0.297868518740272,2021-01-25,235.31,0.86,0,1,0.0455656989308022,2.76420288143022,-0.298313029937961
2021-01-27,-1.61265830473472,2.12343276763762,-2.04026482907716,2021-01-26,230.71,0.85,0,1,-1.6258031513166,2.10120208577985,-2.0613657348746
2021-01-28,0.166687245338937,1.53709696662514,0.306513409961686,2021-01-27,280.439,0.84,0,1,0.166548476335573,1.52540330754293,0.306044615310613
2021-01-29,-1.83204930662558,-0.427405723081267,-1.77081741787625,2021-01-28,275.431,0.82,0,1,-1.84903915817727,-0.428321712267076,-1.78668398046963
2021-02-01,1.60568818571362,-0.866088517415008,1.4978768412375,2021-01-31,216.909,0.82,1,1,1.59293336689864,-0.86986086103168,1.48676944546498
2021-02-02,0.854265146599928,0.510210052516989,1.29187482759679,2021-02-01,187.794,0.85,0,1,0.850636950198272,0.508912891322231,1.283601304269
2021-02-03,0.309403097094365,-2.45928728529262,0.302585593899874,2021-02-02,211.028,0.87,0,1,0.308925430734635,-2.49003288361466,0.302128725072527
2021-02-04,-0.0778756737772742,-0.123001655337895,0.571669909648998,2021-02-03,237.93,0.87,0,1,-0.0779060126321847,-0.12307736446266,0.570042078156401
2021-02-05,-0.1742107032611,-0.0156384666486424,0.569920211170429,2021-02-04,247.946,0.86,0,1,-0.174362626576846,-0.0156396895843337,0.568302310187416
2021-02-08,0.48221174453493,-0.92555745074036,0.741171558100696,2021-02-07,230.768,0.85,1,1,0.481052827830457,-0.929867348044075,0.738438378433086
2021-02-09,0.103596946937044,-0.478489978987547,0.173197341346805,2021-02-08,130.786,0.83,0,1,0.103543322332412,-0.479638407161152,0.173047527708765
2021-02-10,0.0243505258191621,-0.307107375897211,0.200975321412724,2021-02-09,105.572,0.84,0,1,0.0243475615598327,-0.30757991832196,0.20077363619344
2021-02-11,1.08181306391979,0.561180051089563,0.247765684452713,2021-02-10,188.9,0.89,0,1,1.07600332914944,0.559611302108623,0.247459251333784
2021-02-12,1.88006141433603,0.695342802823461,0.367787683526054,2021-02-11,258.02,0.94,0,1,1.86260669335057,0.692936443281619,0.367112998391813
2021-02-15,1.23369235997221,1.9411265916266,0.416275797373363,2021-02-14,202.119,0.97,1,1,1.22614439151158,1.9225270379576,0.415411766679776
2021-02-16,0.32838086342275,0.580124349685216,-0.00291936708123073,2021-02-15,165.375,0.97,0,1,0.327842870919987,0.578448108112353,-0.00291940969558346
2021-02-17,-0.929549190463027,1.44491292315663,-0.344495372668073,2021-02-16,159.494,0.99,0,1,-0.933896459928363,1.43457353414946,-0.34509012429777
2021-02-18,-1.20844590626102,-0.361771426946107,-0.590303207851192,2021-02-17,199.382,1.02,0,1,-1.21580697694943,-0.36242740233846,-0.592052384263734
2021-02-19,0.842734204307319,-1.3698899358434,0.157661308146824,2021-02-18,266.23,1.07,0,1,0.839203024713734,-1.37935950930076,0.157537153185489
2021-02-22,-0.99192312227332,1.93942104823142,-0.878276988260221,2021-02-21,273.742,1.14,1,1,-0.996875455784401,1.92085395691582,-0.88215657297112
2021-02-23,-1.14477112020842,2.55933515642902,0.0385888359529203,2021-02-22,244.685,1.14,0,1,-1.15137406557332,2.52713246791406,0.0385813923764767
2021-02-24,0.072282625064003,2.08256432243661,0.19880420752786,2021-02-23,224.013,1.13,0,1,0.0722565137564392,2.06117540063933,0.198606853485355
2021-02-25,-0.00902880187798258,2.02837468799215,-1.2319173193953,2021-02-24,257.03,1.11,0,1,-0.00902920949883851,2.00807718260126,-1.23956832175442
2021-02-26,-1.98952564411269,-0.623961991666448,-1.48414661569597,2021-02-25,293.715,1.1,0,1,-2.00958318463825,-0.625916770126931,-1.49527026967979
2021-03-01,2.04526609956086,1.77536293781013,2.03454310279236,2021-02-28,273.043,1.06,1,1,2.02463141424245,1.75978744747709,2.014122783506
2021-03-02,-0.198621685876802,-0.785796691258239,-0.508560520193278,2021-03-01,220.286,1.05,0,1,-0.198819200328325,-0.788900343078774,-0.509858090362671
2021-03-03,0.0135693393239502,1.24831751022635,-0.646070363208475,2021-03-02,233.912,1.05,0,1,0.0135684187723747,1.24059026775405,-0.648166430704257
2021-03-04,-0.856259892967523,0.26458716421343,-1.42426071213035,2021-03-03,293.482,1.04,0,1,-0.859946859754445,0.264237748579666,-1.43450065023875
2021-03-05,-0.577797375583492,-1.27143203937701,0.632117056446675,2021-03-04,242.356,1.01,0,1,-0.579473082531071,-1.27958390721441,0.63012757607642
